Data;Status OperaÁ„o ;Periodo;Carteira;Ativo;Time Frame;CÛdigo;DireÁ„o;Qtd;Compra;Venda;Stop;% Stop;Objetivo;% Objetivo;EstratÈgia;Resul. (%);Resul (pts);$ Bruto;$ Custo;$ LÌquido;$ Custo Acum.;$ Bruto Acum.;Disciplina 
17/04/17; Fechado ;abr/17;DAY TRADE;DOLAR;SCALPER;WDOJ17;Venda;3;3116;3114,5;3116,5;-0,02%;3112,5;0,11%;LeilÑo;-0,05%;-1,5;-$ 45;$ 4;-$ 49;$ 4;-$ 45;1
17/04/17; Fechado ;abr/17;DAY TRADE;DOLAR;SCALPER;WDOJ17;Compra;1;3112;3109,5;3110;-0,06%;3114;0,06%;Chic?;-0,08%;-2,5;-$ 25;$ 1;-$ 26;$ 5;-$ 70;1
18/04/17; Fechado ;abr/17;DAY TRADE;DOLAR;SCALPER;WDOK17;Compra;1;3117,5;3118,5;3115,5;-0,06%;3119,5;0,06%;LeilÑo;0,03%;1;$ 10;$ 1;$ 9;$ 7;-$ 60;1
18/04/17; Fechado ;abr/17;DAY TRADE;DOLAR;SCALPER;WDOK17;Compra;3;3118,67;3117,67;3116,67;-0,06%;3120,67;0,06%;M?dio Träs;-0,03%;-1;-$ 30;$ 4;-$ 34;$ 11;-$ 90;1
18/04/17; Fechado ;abr/17;DAY TRADE;DOLAR;SCALPER;WDOK17;Compra;2;3117,5;3116;3115,5;-0,06%;3119,5;0,06%;A Alta;-0,05%;-1,5;-$ 30;$ 3;-$ 33;$ 14;-$ 120;1
18/04/17; Fechado ;abr/17;DAY TRADE;INDICE;SCALPER;WINM17;Compra;3;64970;64940;64968;0,00%;64972;0,00%;Estrela Cadente;-0,05%;-30;-$ 18;$ 4;-$ 22;$ 18;-$ 138;1
18/04/17; Fechado ;abr/17;DAY TRADE;DOLAR;SCALPER;WDOK17;Venda;2;3109,5;3109,5;3111,5;-0,06%;3107,5;0,06%;RB;0,00%;0;$ 0;$ 3;-$ 3;$ 20;-$ 138;1
18/04/17; Fechado ;abr/17;DAY TRADE;DOLAR;SCALPER;WDOK17;Venda;2;3106,5;3107,5;3109,5;-0,10%;3105,5;0,03%;RB;0,03%;1;$ 20;$ 3;$ 17;$ 23;-$ 118;1
18/04/17; Fechado ;abr/17;DAY TRADE;DOLAR;SCALPER;WDOK17;Venda;2;3103,5;3103;3105;-0,05%;3101;0,08%;A Baixa;-0,02%;-0,5;-$ 10;$ 3;-$ 13;$ 26;-$ 128;1
18/04/17; Fechado ;abr/17;DAY TRADE;DOLAR;SCALPER;WDOK17;Venda;2;3102;3103;3105;-0,10%;3101;0,03%;A Baixa;0,03%;1;$ 20;$ 3;$ 17;$ 29;-$ 108;1
